,d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,gold_earned,kda,kills,level,time_cc,damage_total,damage_taken,total_minions_killed,turret_kills,vision_score,result
277,4,11,Talon,Side.red,6,0,17336,0,0,7092,7.0,1,12,1,111312,12481,13,1,19,True
278,7,4,Caitlyn,Side.red,7,5873,9675,5873,3,15834,5.0,8,17,15,238748,20204,280,1,11,False
279,6,4,Garen,Side.red,3,2474,3155,2474,4,8895,1.25,2,13,16,100839,17752,159,1,12,False
280,12,4,TahmKench,Side.red,17,4581,10101,4581,4,12963,5.25,4,17,39,90064,44253,135,2,38,True
281,7,4,Ezreal,Side.red,7,65,345,65,10,9257,1.2,5,13,3,85075,18876,154,0,12,False
282,4,3,Aphelios,Side.blue,4,9677,9677,9677,7,10699,1.1428571428571428,4,11,11,110390,13235,166,3,12,False
283,3,4,Kaisa,Side.blue,9,6369,18264,6369,9,12898,1.5555555555555556,5,15,2,136640,17714,193,3,23,True
284,4,11,Graves,Side.blue,4,8027,33419,8027,0,11248,7.0,3,14,15,189692,12986,60,4,18,True
285,12,14,Camille,Side.blue,9,4692,10447,4692,4,11480,3.25,4,16,13,109016,19649,183,1,23,True
286,4,3,Braum,Side.blue,24,1008,1008,1008,4,9562,7.0,4,14,43,31690,22624,26,1,66,True
287,7,4,Lucian,Side.blue,9,7166,14134,7166,7,13622,2.142857142857143,6,15,2,162484,22494,201,4,37,True
288,12,14,Sejuani,Side.blue,6,2678,2678,2678,4,11002,2.5,4,15,22,128590,20484,199,2,21,False
289,12,4,Irelia,Side.red,7,1288,3174,1288,11,14193,1.0909090909090908,5,17,14,217125,40541,267,1,23,False
290,4,11,Lillia,Side.red,6,884,19612,884,7,19661,3.142857142857143,16,18,41,289855,39649,103,0,32,False
291,4,14,Lulu,Side.red,24,2623,3476,2623,5,8395,4.8,0,13,34,15342,11338,5,2,56,True
292,4,14,Syndra,Side.blue,1,0,1496,0,6,6014,0.3333333333333333,1,10,19,55102,11735,105,0,18,False
293,14,4,Singed,Side.red,12,1146,2408,1146,5,12844,3.2,4,17,49,161327,35044,212,0,29,True
294,4,12,Malphite,Side.red,3,1522,2843,1522,1,8676,3.0,0,14,18,120900,11119,203,0,19,True
295,11,6,Hecarim,Side.red,10,1740,23496,1740,4,10925,4.0,6,14,10,135506,27902,23,2,35,True
296,4,12,Ryze,Side.red,2,130,130,130,2,6737,3.0,4,11,16,67829,9230,132,0,8,True
297,4,7,Jhin,Side.red,13,4912,12938,4912,3,10179,5.666666666666667,4,13,12,110930,10472,153,1,21,True
298,4,12,DrMundo,Side.blue,5,2596,2596,2596,3,6952,2.0,1,12,9,78244,18509,137,0,11,False
299,4,3,Karthus,Side.red,8,863,5594,863,1,7408,11.0,3,11,17,56718,5053,107,1,14,True
300,1,4,Lucian,Side.red,4,5675,17792,5675,6,14446,2.6666666666666665,12,14,2,152570,20000,211,1,30,True
301,12,4,Fiora,Side.red,6,6791,8263,6791,11,10012,0.9090909090909091,4,14,10,107345,33662,152,1,9,False
302,7,4,Lulu,Side.red,16,541,613,541,6,7533,2.8333333333333335,1,12,44,14799,13153,16,0,49,False
303,3,4,MissFortune,Side.red,2,221,221,221,6,6780,0.5,1,11,8,102603,12249,151,0,22,False
304,4,14,Blitzcrank,Side.blue,14,829,2202,829,7,9066,2.4285714285714284,3,14,50,32352,22080,36,1,67,False
305,11,4,Lillia,Side.red,20,1695,23829,1695,9,13183,2.5555555555555554,3,17,19,225616,33711,97,0,28,False
306,4,3,Seraphine,Side.red,9,1150,1946,1150,10,7983,1.0,1,13,16,58304,19329,62,0,57,False
307,4,3,Karma,Side.red,12,2141,3665,2141,5,8030,2.8,2,11,27,44532,14870,54,1,48,True
308,4,14,Leona,Side.blue,19,1893,1893,1893,2,7119,9.5,0,11,20,29432,11029,34,1,46,True
309,4,11,Lillia,Side.blue,4,0,1770,0,4,10633,2.5,6,14,24,147330,29162,37,0,25,False
